id_dec,length,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
320,8,00,00,00,00,02,29,29,18
790,8,05,08,00,00,08,15,00,80
848,8,00,20,90,69,69,00,00,B0
305,8,10,80,00,00,8C,7B,0A,AE
320,8,00,00,00,00,04,25,2A,4D
608,8,05,08,15,00,58,0A,5F,20
688,5,E9,FF,00,07,BB
305,8,54,80,00,00,81,7B,0B,81
1442,4,25,02,91,01
790,8,05,08,00,00,08,15,00,80
848,8,00,20,A0,69,69,00,00,80
320,8,00,00,00,00,08,29,2C,7E
339,8,00,00,00,FF,00,FF,10,0E
809,8,40,7B,81,12,11,2E,00,12
1349,8,EA,00,00,7C,00,00,00,00
305,8,D8,7F,00,00,7B,7B,0D,5B
320,8,00,00,00,00,0A,20,2D,76
357,8,FE,07,80,00,00,00,03,7A
1349,8,EA,00,00,7C,00,00,00,00
320,8,00,00,00,00,02,21,2E,11
790,8,05,08,00,00,08,15,00,80
1087,8,00,40,61,FF,55,00,00,00
1349,8,EA,00,00,7C,00,00,00,00
320,8,00,00,00,00,04,20,2F,45
608,8,05,08,15,00,58,0A,5F,3F
1088,8,FF,00,00,00,FF,00,00,00
848,8,00,20,C0,69,69,00,00,E0
320,8,00,00,00,00,06,39,20,5F
339,8,00,00,00,FF,00,FF,50,4E
1349,8,EA,00,00,7C,00,00,00,00
2,8,00,00,00,00,00,01,01,5B
320,8,00,00,00,00,08,21,21,A5
339,8,00,00,00,FF,00,FF,60,5E
1435,8,00,00,00,00,00,00,00,C4
356,8,00,08,00,00,00,00,06,0E
357,8,FD,07,80,00,00,00,08,72
544,8,9F,03,FF,C7,0C,00,48,10
1349,8,EA,00,00,7C,00,00,00,00
2,8,00,00,00,00,00,01,03,61
399,8,FA,2F,00,00,00,62,00,00
497,8,00,00,00,00,00,00,00,00
848,8,00,20,E0,69,69,00,00,C0
304,8,96,80,00,FF,08,7D,04,AF
672,8,08,00,6D,00,B7,0A,9F,03
544,8,9F,03,FF,C7,09,00,48,10
704,8,3D,00,00,00,00,00,00,00
688,5,EB,FF,00,07,46
880,8,00,20,00,80,00,00,00,00
1264,8,80,00,2A,00,00,CB,60,0F
848,8,00,20,F0,69,69,00,00,D0
304,8,A8,80,00,FF,02,7D,06,4D
1087,8,00,40,61,FF,55,00,00,00
544,8,9E,03,FF,C7,09,00,4A,10
357,8,FE,07,80,00,00,00,0D,74
320,8,00,00,00,00,14,26,27,00
1087,8,00,40,61,FF,55,00,00,00
544,8,9E,03,FF,C7,0C,00,53,10
688,5,E9,FF,00,07,99
399,8,FA,2F,00,00,00,62,00,00
1349,8,EA,00,00,7C,00,00,00,00
544,8,9F,03,FF,C7,09,00,50,10
688,5,EB,FF,00,07,8A
305,8,00,80,00,00,86,7B,09,3F
1264,8,80,00,2E,00,00,CB,60,0F
497,8,00,00,00,00,00,00,00,00
848,8,00,20,10,69,69,00,00,30
399,8,FA,2F,00,00,00,62,00,00
1349,8,EA,00,00,7C,00,00,00,00
688,5,E9,FF,00,07,CC
1201,8,00,00,00,00,00,00,00,00
304,8,9C,80,00,FF,09,7D,0B,F3
