id_dec,length,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
544,8,8F,03,FF,C7,0C,00,48,10
544,8,90,03,FF,C7,0C,00,4B,10
339,8,00,00,00,FF,00,FF,00,FE
356,8,00,08,00,00,00,00,02,0A
305,8,00,80,00,00,00,7C,00,F6
848,8,00,6B,B1,94,96,00,00,D8
809,8,40,BA,7E,10,11,20,00,12
497,8,00,00,00,00,00,00,00,00
688,5,E9,FF,00,07,33
544,8,90,03,FF,C7,0C,00,48,10
320,8,00,00,00,00,02,00,2B,41
305,8,00,80,00,00,0B,7C,0D,F7
704,8,3D,00,00,00,00,00,00,00
1088,8,FF,00,00,00,FF,2C,0A,00
544,8,90,03,FF,C7,0F,00,49,10
1088,8,FF,00,00,00,FF,2A,0A,00
672,8,08,00,8E,1C,B5,09,7D,03
608,8,23,3B,39,30,25,A0,63,22
848,8,00,6B,71,94,96,00,00,18
688,5,E9,FF,00,07,99
339,8,00,00,00,FF,00,FF,30,2E
497,8,00,00,00,00,00,00,00,00
688,5,E9,FF,00,07,FF
304,8,92,80,00,FF,90,7C,03,0D
1088,8,FF,00,00,00,FF,07,0A,00
1087,8,00,40,61,FF,6E,FE,09,00
688,5,E9,FF,00,07,77
608,8,23,3B,3A,30,25,9F,63,14
357,8,FE,F7,7F,00,00,00,00,76
304,8,92,80,00,FF,80,7C,0E,94
1088,8,FF,00,00,00,FF,E8,09,00
1435,8,00,00,00,00,00,00,00,C4
497,8,00,00,00,00,00,00,00,00
848,8,00,6B,51,94,96,00,00,38
848,8,00,6B,61,94,96,00,00,08
880,8,00,20,00,80,00,00,00,00
880,8,00,20,00,80,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
608,8,24,3C,3B,30,25,9E,65,2F
790,8,45,3C,64,0A,3C,38,00,73
1264,8,80,00,28,00,00,39,3C,0F
688,5,EB,FF,00,07,75
688,5,E9,FF,00,07,77
688,5,E9,FF,00,07,99
880,8,00,20,00,80,00,00,00,00
688,5,E9,FF,00,07,DD
1088,8,FF,00,00,00,FF,CB,09,00
688,5,E9,FF,00,07,11
357,8,FE,07,80,00,00,00,08,71
2,8,00,00,00,00,00,00,03,2D
544,8,90,03,FF,C7,0C,00,48,10
544,8,8F,03,FF,C7,0C,00,48,10
544,8,90,03,FF,C7,0C,00,48,10
1088,8,FF,00,00,00,FF,D7,09,00
704,8,3D,00,00,00,00,00,00,00
2,8,00,00,00,00,00,01,0E,E0
1349,8,D8,00,00,89,00,00,00,00
880,8,00,20,00,80,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
544,8,8F,03,FF,C7,0C,00,48,10
1265,8,08,17,00,00,00,00,00,00
1264,8,80,00,50,00,00,39,3C,0F
848,8,00,6B,01,94,96,00,00,68
1088,8,FF,00,00,00,FF,E8,09,00
544,8,91,03,FF,C7,0C,00,48,10
544,8,8F,03,FF,C7,0C,00,4F,10
1088,8,FF,00,00,00,FF,F9,09,00
790,8,45,3C,8C,0A,3C,39,00,73
672,8,68,00,8E,1C,B5,09,7D,03
1088,8,FF,00,00,00,FF,04,0A,00
1087,8,00,40,61,FF,6E,04,0A,00
809,8,0F,BA,7E,10,11,20,00,12
688,5,E9,FF,00,07,33
688,5,E9,FF,00,07,55
320,8,00,00,00,00,08,25,21,88
305,8,08,80,00,00,EB,7B,03,EA
848,8,00,6B,D1,94,96,00,00,B8
848,8,00,6B,E1,94,96,00,00,88
1088,8,FF,00,00,00,FF,21,0A,00
1349,8,D8,00,00,89,00,00,00,00
672,8,48,00,8E,1C,B5,09,7D,03
1087,8,00,40,61,FF,6E,27,0A,00
357,8,FE,F7,7F,00,00,00,0C,7A
357,8,FF,F7,7F,00,00,00,0E,79
1264,8,80,00,7C,00,00,39,3C,0F
1264,8,80,00,7E,00,00,39,3C,0F
544,8,8E,03,FF,C7,0C,00,48,10
1349,8,D8,00,00,8A,00,00,00,00
320,8,00,00,00,00,0C,01,2B,04
1201,8,01,00,00,00,00,00,00,01
1088,8,FF,00,00,00,FF,44,0A,00
1349,8,D8,00,00,89,00,00,00,00
1087,8,00,40,61,FF,6E,49,0A,00
898,8,00,00,00,00,00,00,00,00
672,8,28,00,8E,1C,B5,09,7D,03
357,8,FF,07,80,00,00,00,06,7E
305,8,00,80,00,00,C0,7B,0A,7D
880,8,00,20,00,80,00,00,00,00
544,8,90,03,FF,C7,0C,00,48,10
304,8,92,80,00,FF,7E,7C,07,E0
497,8,00,00,00,00,00,00,00,00
1349,8,D8,68,00,89,00,00,00,00
339,8,00,00,00,FF,00,FF,40,3E
320,8,00,00,00,00,0A,20,25,9E
809,8,86,BA,7E,10,11,20,00,12
320,8,00,00,00,00,12,21,29,5A
356,8,00,08,00,00,00,00,0F,07
544,8,8F,03,FF,C7,0C,00,48,10
544,8,91,03,FF,C7,0C,00,48,10
1349,8,D8,00,00,8A,00,00,00,00
1088,8,FF,00,00,00,FF,34,0A,00
1349,8,D8,00,00,8A,00,00,00,00
809,8,0F,BA,7E,10,11,20,00,12
688,5,EB,FF,00,07,64
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
1264,8,80,00,C8,00,00,39,3C,0F
1264,8,80,00,CA,00,00,39,3C,0F
356,8,00,08,00,00,00,00,05,0D
1088,8,FF,00,00,00,FF,35,0A,00
880,8,00,20,00,80,00,00,00,00
880,8,00,20,00,80,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
790,8,45,3A,BC,0A,3A,38,00,73
304,8,92,80,00,FF,8B,7C,0C,2E
848,8,00,6B,21,94,96,00,00,48
688,5,E9,FF,00,07,EE
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
880,8,00,20,00,80,00,00,00,00
320,8,00,00,00,00,02,00,27,DD
320,8,00,00,00,00,04,13,29,1E
1201,8,01,00,00,00,00,00,00,01
1087,8,00,40,61,FF,6E,0E,0A,00
1349,8,D8,00,00,89,00,00,00,00
608,8,23,3A,39,30,25,A0,62,24
1264,8,80,00,EE,00,00,39,3C,0F
320,8,00,00,00,00,02,29,24,99
2,8,00,00,00,00,00,04,06,69
356,8,00,08,00,00,00,00,0C,04
1264,8,80,00,F6,00,00,39,3C,0F
1265,8,08,17,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
305,8,00,80,00,00,0E,7C,01,E2
2,8,00,00,00,00,00,06,03,98
809,8,0F,BA,7E,10,11,20,00,12
544,8,90,03,FF,C7,0C,00,48,10
544,8,8E,03,FF,C7,09,00,4A,10
688,5,E9,FF,00,07,CC
320,8,00,00,00,00,02,00,2D,0F
688,5,E9,FF,00,07,11
1349,8,D8,00,00,89,00,00,00,00
544,8,8F,03,FF,C7,0C,00,48,10
672,8,68,00,8E,1C,B5,09,7D,03
688,5,E9,FF,00,07,99
1200,8,01,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
848,8,00,6B,21,94,96,00,00,48
848,8,00,6B,31,94,96,00,00,58
320,8,00,00,00,00,0C,01,21,D6
356,8,00,08,00,00,00,00,07,0F
304,8,92,80,00,FF,89,7C,05,D8
1088,8,FF,00,00,00,FF,D3,09,00
1349,8,D8,00,00,89,00,00,00,00
672,8,48,00,8E,1C,B5,09,7D,03
688,5,E9,FF,00,07,11
688,5,E9,FF,00,07,33
356,8,00,08,00,00,00,00,04,0C
1264,8,80,00,30,00,00,39,3C,0F
1088,8,FF,00,00,00,FF,DE,09,00
339,8,00,00,00,FF,00,FF,E0,DE
898,8,00,00,00,00,00,00,00,00
320,8,00,00,00,00,02,29,29,18
544,8,8F,03,FF,C7,0C,00,48,10
544,8,90,03,FF,C7,0C,00,45,10
1349,8,D8,00,00,89,00,00,00,00
1088,8,FF,00,00,00,FF,FC,09,00
320,8,00,00,00,00,14,20,22,DC
1087,8,00,40,61,FF,6E,07,0A,00
1349,8,D8,00,00,8A,00,00,00,00
399,8,FA,6A,00,00,00,44,00,20
1264,8,80,00,48,00,00,39,3C,0F
320,8,00,00,00,00,0E,23,2B,EA
320,8,00,00,00,00,12,21,2D,2E
320,8,00,00,00,00,16,20,2F,5E
356,8,00,08,00,00,00,00,05,0D
1265,8,08,17,00,00,00,00,00,00
1264,8,80,00,54,00,00,39,3C,0F
1264,8,80,00,56,00,00,39,3C,0F
880,8,00,20,00,80,00,00,00,00
320,8,00,00,00,00,08,21,28,50
2,8,00,00,00,00,00,02,0B,5D
880,8,00,20,00,80,00,00,00,00
848,8,00,6B,B1,94,96,00,00,D8
339,8,00,00,00,FF,00,FF,D0,CE
809,8,86,BA,7E,10,11,20,00,12
1087,8,00,40,61,FF,6E,3C,0A,00
790,8,45,3B,D4,0A,3B,38,00,73
304,8,92,80,00,FF,7E,7C,08,5B
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
1264,8,80,00,80,00,00,39,3C,0F
1088,8,FF,00,00,00,FF,3C,0A,00
1201,8,01,00,00,00,00,00,00,01
1349,8,D8,00,00,8A,00,00,00,00
898,8,00,00,00,00,00,00,00,C4
1088,8,FF,00,00,00,FF,40,0A,00
848,8,00,6B,91,94,96,00,00,F8
672,8,68,00,8E,1C,B5,09,7D,03
320,8,00,00,00,00,0E,21,2E,1B
305,8,00,80,00,00,DC,7B,00,BD
1435,8,00,00,00,00,00,00,00,4C
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
1088,8,FF,00,00,00,FF,32,0A,00
880,8,00,20,00,80,00,00,00,00
1508,3,00,00,00
1349,8,D8,00,00,89,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
809,8,0F,BA,7E,10,11,20,00,12
809,8,0F,BA,7E,10,11,20,00,12
399,8,FA,69,00,00,00,44,00,20
848,8,00,6B,71,94,97,00,00,19
848,8,00,6B,81,94,97,00,00,E9
305,8,0C,80,00,00,D2,7B,0A,DD
1349,8,D8,00,00,8A,00,00,00,00
1264,8,80,00,B0,00,00,39,3C,0F
880,8,00,20,00,80,00,00,00,00
1087,8,00,40,61,FF,6E,1C,0A,00
672,8,68,00,8E,1C,B5,09,7D,03
1087,8,00,40,61,FF,6E,18,0A,00
1349,8,D8,00,00,89,00,00,00,00
809,8,D6,BA,7E,10,11,20,00,12
790,8,45,3A,A0,0A,3A,38,00,73
544,8,8F,03,FF,C7,0C,00,52,10
339,8,00,00,00,FF,00,FF,10,0E
320,8,00,00,00,00,02,00,20,8E
320,8,00,00,00,00,04,25,22,A5
2,8,00,00,00,00,00,00,04,7E
880,8,00,20,00,80,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
880,8,00,20,00,80,00,00,00,00
497,8,00,00,00,00,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
790,8,45,3B,84,0A,3B,38,00,73
356,8,00,08,00,00,00,00,05,0D
544,8,8E,03,FF,C7,0C,00,48,10
544,8,90,03,FF,C7,0C,00,4A,10
544,8,8E,03,FF,C7,0C,00,4D,10
1349,8,D8,6B,00,89,00,00,00,00
1264,8,80,00,DE,00,00,39,3C,0F
320,8,00,00,00,00,08,29,2C,7E
1087,8,00,40,61,FF,6E,DB,09,00
688,5,E9,FF,00,07,33
688,5,E9,FF,00,07,55
809,8,40,BA,7E,10,11,20,00,12
320,8,00,00,00,00,10,2F,25,2A
320,8,00,00,00,00,14,26,27,00
304,8,92,80,00,FF,90,7C,09,DF
880,8,00,20,00,80,00,00,00,00
1088,8,FF,00,00,00,FF,C2,09,00
544,8,8F,03,FF,C7,0C,00,48,10
880,8,00,20,00,80,00,00,00,00
1349,8,D8,6B,00,89,00,00,00,00
809,8,D6,BA,7E,10,11,20,00,12
880,8,00,20,00,80,00,00,00,00
2,8,00,00,00,00,00,03,08,36
399,8,FA,6A,00,00,00,44,00,20
497,8,00,00,00,00,00,00,00,00
848,8,00,6B,31,94,97,00,00,59
320,8,00,00,00,00,10,20,2F,5B
305,8,00,80,00,00,C6,7B,01,B7
1088,8,FF,00,00,00,FF,D8,09,00
880,8,00,20,00,80,00,00,00,00
1087,8,00,40,61,FF,6E,DE,09,00
1349,8,D8,00,00,89,00,00,00,00
880,8,00,20,00,80,00,00,00,00
898,8,00,00,00,00,00,00,00,88
608,8,24,3C,3B,30,25,9F,63,11
304,8,92,80,00,FF,9E,7C,00,23
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
848,8,00,6B,01,94,97,00,00,69
1435,8,00,00,00,00,00,00,00,C4
880,8,00,20,00,80,00,00,00,00
1442,4,29,00,00,00
608,8,23,3C,3B,30,25,9F,63,21
1349,8,D8,00,00,89,00,00,00,00
339,8,00,00,00,FF,00,FF,B0,AE
320,8,00,00,00,00,0E,09,24,E6
320,8,00,00,00,00,12,0D,26,E3
1264,8,80,00,2E,00,00,39,3C,0F
1088,8,FF,00,00,00,FF,18,0A,00
497,8,00,00,00,00,00,00,00,00
880,8,00,20,00,80,00,00,00,00
809,8,86,BA,7E,10,11,20,00,12
399,8,FA,6A,00,00,00,44,00,20
544,8,8F,03,FF,C7,0C,00,48,10
544,8,8F,03,FF,C7,0C,00,48,10
1508,3,00,00,00
544,8,90,03,FF,C7,0C,00,4C,10
320,8,00,00,00,00,08,23,2A,F2
320,8,00,00,00,00,0C,21,2C,22
2,8,00,00,00,00,00,09,0E,BA
880,8,00,20,00,80,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
672,8,08,00,8E,1C,B5,09,7D,03
320,8,00,00,00,00,02,00,25,E7
320,8,00,00,00,00,02,00,27,DD
356,8,00,08,00,00,00,00,0D,05
848,8,00,6B,A1,94,97,00,00,C9
1201,8,01,00,00,00,00,00,00,01
848,8,00,6B,C1,94,97,00,00,A9
544,8,90,03,FF,C7,0C,00,48,10
339,8,00,00,00,FF,00,FF,E0,DE
1088,8,FF,00,00,00,FF,44,0A,00
320,8,00,00,00,00,04,25,26,D1
1087,8,00,40,61,FF,6E,42,0A,00
809,8,0F,BA,7E,10,11,20,00,12
608,8,23,3A,39,30,25,A0,62,15
339,8,00,00,00,FF,00,FF,A0,9E
320,8,00,00,00,00,16,20,2F,5E
320,8,00,00,00,00,02,29,21,F0
320,8,00,00,00,00,06,26,23,6F
356,8,00,08,00,00,00,00,09,01
1435,8,00,00,00,00,00,00,00,C4
880,8,00,20,00,80,00,00,00,00
848,8,00,6B,A1,94,97,00,00,C9
880,8,00,20,00,80,00,00,00,00
809,8,86,BA,7E,10,11,20,00,12
672,8,48,00,8E,1C,B5,09,7D,03
497,8,00,00,00,00,00,00,00,00
704,8,3D,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
320,8,00,00,00,00,08,21,28,50
320,8,00,00,00,00,0C,20,2A,20
1200,8,01,00,00,00,00,00,00,00
880,8,00,20,00,80,00,00,00,00
880,8,00,20,00,80,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
809,8,40,BA,7E,10,11,20,00,12
790,8,45,3B,A4,0A,3B,38,00,73
704,8,3D,00,00,00,00,00,00,00
688,5,E9,FF,00,07,99
544,8,90,03,FF,C7,0C,00,48,10
544,8,8D,03,FF,C7,0C,00,48,10
544,8,8E,03,FF,C7,0C,00,48,10
1349,8,D8,00,00,89,00,00,00,00
1680,8,03,00,01,00,80,00,0C,00
1087,8,00,40,61,FF,6E,F0,09,00
1349,8,D8,00,00,89,00,00,00,00
898,8,00,00,00,00,00,00,00,88
608,8,24,3B,3B,30,25,9E,66,10
320,8,00,00,00,00,08,20,2B,3B
320,8,00,00,00,00,0C,32,2D,5F
320,8,00,00,00,00,10,28,2F,01
1435,8,00,00,00,00,00,00,00,4C
2,8,00,00,00,00,00,07,03,D4
1088,8,FF,00,00,00,FF,C8,09,00
544,8,90,03,FF,C7,0C,00,47,10
544,8,8F,03,FF,C7,0C,00,48,10
1435,8,00,00,00,00,00,00,00,00
1200,8,01,00,00,00,00,00,00,00
809,8,D6,BA,7E,10,11,20,00,12
790,8,45,3C,5C,0A,3C,39,00,73
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
1201,8,01,00,00,00,00,00,00,01
320,8,00,00,00,00,08,0E,27,3D
320,8,00,00,00,00,0C,01,29,3E
320,8,00,00,00,00,10,33,2B,4F
2,8,00,00,00,00,00,08,0D,D1
880,8,00,20,00,80,00,00,00,00
880,8,00,20,00,80,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
160,8,75,83,78,0A,00,27,02,00
304,8,92,80,00,FF,8B,7C,06,FC
848,8,00,6B,91,94,97,00,00,F9
848,8,00,6B,A1,94,97,00,00,C9
497,8,00,00,00,00,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
809,8,D6,BA,7E,10,11,20,00,12
790,8,45,3C,80,0A,3C,39,00,73
688,5,E9,FF,00,07,99
704,8,3D,00,00,00,00,00,00,00
320,8,00,00,00,00,0C,2F,26,1F
1200,8,01,00,00,00,00,00,00,00
880,8,00,20,00,80,00,00,00,00
898,8,00,00,00,00,00,00,00,C4
809,8,40,BA,7E,10,11,20,00,12
1265,8,08,17,00,00,00,00,00,00
305,8,EC,7F,00,00,09,7C,01,CA
357,8,FE,07,80,00,00,00,00,79
356,8,00,08,00,00,00,00,09,01
544,8,91,03,FF,C7,0C,00,48,10
544,8,8F,03,FF,C7,0C,00,48,10
544,8,91,03,FF,C7,09,00,48,10
1349,8,D8,00,00,8A,00,00,00,00
1435,8,00,00,00,00,00,00,00,4C
305,8,00,80,00,00,C5,7B,00,26
1349,8,D8,00,00,89,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
497,8,00,00,00,00,00,00,00,00
848,8,00,6B,11,94,97,00,00,79
544,8,8E,03,FF,C7,0C,00,48,10
848,8,00,6B,31,94,97,00,00,59
357,8,FE,07,80,00,00,00,0C,75
